timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1627495847157,114,HTTP Request,200,,Thread Group 1-1,text,true,,175,180,2,2,http://localhost:8080/v1/event/publish,114,0,1
1627495847258,127,HTTP Request,200,,Thread Group 1-2,text,true,,175,180,2,2,http://localhost:8080/v1/event/publish,127,0,1
1627495847457,104,HTTP Request,200,,Thread Group 1-4,text,true,,175,180,3,3,http://localhost:8080/v1/event/publish,103,0,0
1627495847557,106,HTTP Request,200,,Thread Group 1-5,text,true,,175,180,3,3,http://localhost:8080/v1/event/publish,106,0,1
1627495847359,321,HTTP Request,200,,Thread Group 1-3,text,true,,175,180,2,2,http://localhost:8080/v1/event/publish,320,0,1
1627495847660,101,HTTP Request,200,,Thread Group 1-6,text,true,,174,180,2,2,http://localhost:8080/v1/event/publish,101,0,1
1627495847759,106,HTTP Request,200,,Thread Group 1-7,text,true,,175,180,2,2,http://localhost:8080/v1/event/publish,106,0,1
1627495847861,120,HTTP Request,200,,Thread Group 1-8,text,true,,175,180,2,2,http://localhost:8080/v1/event/publish,120,0,0
1627495847961,99,HTTP Request,200,,Thread Group 1-9,text,true,,174,180,2,2,http://localhost:8080/v1/event/publish,99,0,1
1627495848057,108,HTTP Request,200,,Thread Group 1-10,text,true,,175,180,1,1,http://localhost:8080/v1/event/publish,108,0,1
1627496519104,411,HTTP Request,200,,Thread Group 1-1,text,true,,175,180,1,1,http://localhost:8080/v1/event/publish,408,0,37
1627496537924,113,HTTP Request,200,,Thread Group 1-1,text,true,,175,180,1,1,http://localhost:8080/v1/event/publish,113,0,0
1627496559416,118,HTTP Request,200,,Thread Group 1-1,text,true,,175,180,1,1,http://localhost:8080/v1/event/publish,118,0,2
